VIDEO,ANIMAL,BODY-PART,ROI,CLEANED_VISIT_COUNT,STRICT_ENTRY_COUNT_OUTSIDE_GAP,FIRST_ROI_ENTRY_TIME_S,TOTAL_ROI_TIME_S,MEAN_VISIT_DURATION_S,MEDIAN_VISIT_DURATION_S,MAX_VISIT_DURATION_S,MERGE_GAP_S_USED,MIN_DURATION_S_USED,NEW_ENTRY_GAP_S_USED,RAW_SIMBA_EVENT_COUNT,EVENTS_REMOVED_OR_MERGED
C1-CCI_8A4-0,Animal_1,Nose,Chamber1,9,7,2.16,5.039999999999997,0.5599999999999997,0.5600000000000023,0.9200000000000017,0.3,0.2,1.0,33,24
C1-CCI_8A4-0,Animal_1,Nose,Chamber2,39,23,3.08,29.20000000000001,0.748717948717949,0.480000000000004,5.560000000000002,0.3,0.2,1.0,180,141
C1-CCI_8A4-0,Animal_1,Nose,Chamber3,17,11,11.76,10.359999999999998,0.6094117647058822,0.480000000000004,1.6400000000000006,0.3,0.2,1.0,80,63
C1-CCI_8A4-0,Animal_1,Nose,Top_half,1,1,84.32,0.36000000000001364,0.36000000000001364,0.36000000000001364,0.36000000000001364,0.3,0.2,1.0,7,6
C1-CCI_8A4-5,Animal_1,Nose,Chamber1,6,3,21.6,4.119999999999997,0.6866666666666662,0.5399999999999991,1.6400000000000006,0.3,0.2,1.0,24,18
C1-CCI_8A4-5,Animal_1,Nose,Chamber2,11,7,0.64,7.68,0.6981818181818181,0.68,1.519999999999996,0.3,0.2,1.0,50,39
C1-CCI_8A4-5,Animal_1,Nose,Chamber3,25,14,4.8,16.92000000000003,0.6768000000000012,0.44000000000000483,2.0,0.3,0.2,1.0,118,93
C1-CCI_8A4-5,Animal_1,Nose,Top_half,1,1,102.68,0.7999999999999972,0.7999999999999972,0.7999999999999972,0.7999999999999972,0.3,0.2,1.0,4,3
C1-CCI_8B3-0,Animal_1,Nose,Chamber1,6,5,0.08,6.639999999999999,1.1066666666666665,0.9199999999999995,2.4399999999999977,0.3,0.2,1.0,29,23
C1-CCI_8B3-0,Animal_1,Nose,Chamber2,28,20,5.44,42.51999999999998,1.518571428571428,1.1400000000000006,5.68,0.3,0.2,1.0,167,139
C1-CCI_8B3-0,Animal_1,Nose,Chamber3,18,11,18.68,29.600000000000033,1.6444444444444464,1.2199999999999989,4.760000000000002,0.3,0.2,1.0,105,87
C1-CCI_8B3-0,Animal_1,Nose,Top_half,9,8,28.48,5.8799999999999955,0.6533333333333329,0.7199999999999989,0.9999999999999964,0.3,0.2,1.0,28,19
C1-CCI_8B3-5,Animal_1,Nose,Chamber1,7,7,0.0,9.399999999999999,1.3428571428571427,1.0,4.8799999999999955,0.3,0.2,1.0,45,38
C1-CCI_8B3-5,Animal_1,Nose,Chamber2,26,14,1.84,22.96000000000001,0.8830769230769235,0.8000000000000016,2.0,0.3,0.2,1.0,120,94
C1-CCI_8B3-5,Animal_1,Nose,Chamber3,22,14,17.32,19.280000000000012,0.8763636363636369,0.7800000000000011,2.039999999999992,0.3,0.2,1.0,102,80
C1-CCI_8B3-5,Animal_1,Nose,Top_half,2,2,68.56,0.960000000000008,0.480000000000004,0.480000000000004,0.5600000000000023,0.3,0.2,1.0,7,5
C1-CCI_8B4-0,Animal_1,Nose,Chamber1,18,12,0.0,13.479999999999984,0.748888888888888,0.7199999999999994,1.8799999999999955,0.3,0.2,1.0,82,64
C1-CCI_8B4-0,Animal_1,Nose,Chamber2,28,16,4.72,20.91999999999999,0.7471428571428568,0.6200000000000001,2.280000000000001,0.3,0.2,1.0,135,107
C1-CCI_8B4-0,Animal_1,Nose,Chamber3,13,8,7.56,7.880000000000019,0.6061538461538476,0.3200000000000003,1.4800000000000004,0.3,0.2,1.0,49,36
C1-CCI_8B4-0,Animal_1,Nose,Top_half,1,1,49.76,0.3999999999999986,0.3999999999999986,0.3999999999999986,0.3999999999999986,0.3,0.2,1.0,6,5
C1-CCI_8B4-5,Animal_1,Nose,Chamber1,10,7,18.48,10.439999999999994,1.0439999999999994,0.7000000000000011,2.6799999999999997,0.3,0.2,1.0,51,41
C1-CCI_8B4-5,Animal_1,Nose,Chamber2,19,11,0.08,23.560000000000006,1.2400000000000002,0.6800000000000068,6.519999999999996,0.3,0.2,1.0,112,93
C1-CCI_8B4-5,Animal_1,Nose,Chamber3,21,14,7.08,12.519999999999985,0.5961904761904755,0.5600000000000023,1.4399999999999977,0.3,0.2,1.0,86,65
